track_name,artist(s)_name,artist_count,released_year,released_month,released_day,release_date,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,streams (millions)
UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",2,2022,12,8,12/8/2022,1042,0,94005786,7,29,3,0,0,150,A#,Minor,73,71,69,53,0,32,9,94.005786
So Good,Halsey,2,2022,12,23,12/23/2022,454,4,93587665,6,1,21,0,1,83,C#,Major,53,40,36,73,0,11,33,93.587665
I Heard You're Married (feat. Lil Wayne),"The Weeknd, Lil Wayne",2,2023,2,23,2/23/2023,387,11,93438910,11,15,14,3,1,140,F#,Major,86,68,79,39,0,11,29,93.43891
My Mind & Me,Selena Gomez,1,2022,11,4,11/4/2022,1045,0,93367537,8,5,2,0,0,142,F,Minor,85,40,43,4,0,39,32,93.367537
Super,SEVENTEEN,2,2023,5,1,5/1/2023,327,13,92035115,14,110,9,0,49,104,E,Minor,80,38,88,11,0,11,5,92.035115
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Be��",1,2022,6,9,6/9/2022,1057,0,91781263,51,14,19,0,0,83,D#,Minor,63,29,62,4,0,18,4,91.781263
Agudo M��gi,"Styrx, utku INC, Thezth",2,2022,1,7,1/7/2022,1178,0,91656026,9,10,9,0,0,110,D,Major,75,85,84,10,0,31,19,91.656026
Rosa Pastel,"Jasiel Nu��ez, Peso P",1,2022,11,3,11/3/2022,953,0,91473363,61,13,37,1,0,144,A,Major,60,24,39,57,0,8,3,91.473363
Abcdario,"Junior H, Eden Mu��",1,2023,4,24,4/24/2023,271,12,91221625,16,103,9,0,55,137,G#,Major,77,35,88,16,0,17,9,91.221625
Chance,Paulo Londra,3,2023,5,12,5/12/2023,1094,34,90839753,40,58,47,8,203,127,B,Minor,82,89,85,4,0,23,6,90.839753
Ain���t Tha,Morgan Wallen,3,1930,1,1,1/1/1930,323,0,90598517,4,0,14,0,0,130,F#,Minor,65,49,80,22,4,7,5,90.598517
"Here We Go��� Again (feat. Tyler, the Cr","The Weeknd, Tyler, The Creator",2,2023,2,2,2/2/2023,200,4,90025258,8,77,2,1,1,123,G,Minor,70,86,68,24,0,11,4,90.025258
Special,SZA,2,2023,5,13,5/13/2023,262,5,89933133,8,60,4,1,109,129,G#,Major,70,42,43,78,0,11,3,89.933133
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",1,2022,4,6,4/6/2022,225,0,89566512,11,0,7,0,0,138,C#,Minor,72,22,46,24,0,9,6,89.566512
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",1,2023,3,3,3/3/2023,356,4,88791109,4,20,0,0,0,121,F#,Minor,64,67,80,0,0,36,3,88.791109
Savior,"Kendrick Lamar, Sam Dew, Baby Keem",3,2022,1,7,1/7/2022,1420,0,88103848,7,18,7,0,0,135,C#,Major,41,27,64,36,0,60,3,88.103848
Hot Shit (feat. Ye & Lil Durk),"Kanye West, Lil Durk, Cardi B",1,2022,12,9,12/9/2022,906,0,88092256,6,21,3,0,0,76,,Major,60,19,20,78,0,11,5,88.092256
California Breeze,Lil Baby,4,2023,6,2,6/2/2023,551,4,86773632,13,46,20,1,10,146,B,Minor,61,20,48,21,0,12,6,86.773632
Bye Bye,"Marshmello, Juice WRLD",3,2023,6,22,6/22/2023,332,26,86444842,11,163,10,4,0,140,F,Minor,65,87,74,22,0,42,4,86.444842
I Wrote The Book,Morgan Wallen,3,2022,5,13,5/13/2022,2291,0,86176890,9,0,8,0,0,123,G#,Major,61,66,71,53,0,32,46,86.17689
Red Ruby Da Sleeze,Nicki Minaj,3,2022,7,1,7/1/2022,1601,0,85924992,11,0,2,0,0,157,A,Major,88,52,69,0,0,8,23,85.924992
Do We Have A Problem?,"Nicki Minaj, Lil Baby",1,2022,10,14,10/14/2022,991,0,85559365,36,38,13,0,3,162,F,Minor,74,22,67,0,0,11,46,85.559365
Novo Balan�,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",2,2022,10,14,10/14/2022,766,0,84697729,16,0,9,0,0,83,D#,Minor,65,24,53,6,0,51,4,84.697729
DOGTOOTH,"Tyler, The Creator",1,2023,1,31,1/31/2023,430,0,83021468,15,17,0,0,0,144,D,Major,68,83,81,9,0,8,4,83.021468
Born Singer,BTS,1,2023,3,3,3/3/2023,1168,0,81419389,45,11,20,0,21,98,C#,Major,70,29,73,12,0,11,26,81.419389
Rumble,"Skrillex, Flowdan, Fred again..",2,2022,2,4,2/4/2022,1064,0,81350745,42,1,26,0,0,120,C#,Minor,84,54,51,47,0,12,40,81.350745
SABOR FRESA,Fuerza Regida,4,2023,5,19,5/19/2023,283,7,81102253,6,9,26,1,66,124,D#,Minor,84,65,50,67,0,13,6,81.102253
On Time (with John Legend),"John Legend, Metro Boomin",2,2023,3,27,3/27/2023,1479,0,80758350,23,0,18,0,33,78,G#,Major,71,80,65,51,0,22,32,80.75835
I Know - PR1SVX Edit,"Kanii, PR1ISVX",1,2022,6,10,6/10/2022,279,0,79095270,0,18,6,0,0,158,G#,Minor,60,68,84,4,0,24,11,79.09527
